NAMA_BARANG,NAMA_BARANG_NO_SPCHAR,JML_BARANG,Predicted_JENIS,Precision_Product,Precision_Service
Transport CPO Via Sungai	 DO 1454CPO145421T172	 ,TRANSPORT CPO VIA SUNGAI	 DO 1454 CPO 1454 21 T172,350640.0,service,-,1.0
PALM KERNEL,PALM KERNEL,358935.0,product,0.9872340425531915,-
Panjar Penjualan CPO,PANJAR PENJUALAN CPO,360000.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,363330.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,364090.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,365050.0,service,-,1.0
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,365830.0,service,-,1.0
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,369580.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,369670.0,service,-,1.0
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,373350.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,373970.0,product,0.9872340425531915,-
Palm Kernel,PALM KERNEL,375000.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,375030.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,375410.0,product,0.9872340425531915,-
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,377980.0,service,-,1.0
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,383440.0,service,-,1.0
Palm Kernel,PALM KERNEL,385985.0,product,0.9872340425531915,-
TBS PERIODE 21 APRIL 2021,TBS PERIODE 21 APRIL 2021,387781.0938,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,389680.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,393260.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,393320.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,394360.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,397150.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSPANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450CPO245021C024,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS PANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450 CPO 2450 21 C024,398010.0,service,-,1.0
Crude Palm Oil CPO HS Code  15111000,CRUDE PALM OIL CPO HS CODE  1511 10 00,398313.0,product,0.9872340425531915,-
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,398330.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,398410.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,398440.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,398640.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,398710.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,399140.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,399250.0,service,-,1.0
Crude Palm Oil CPO,CRUDE PALM OIL CPO,399430.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,399510.0,product,0.9872340425531915,-
FFA Premium 2250CPO225021C046,FFA PREMIUM 2250 CPO 2250 21 C046,399930.0,product,0.9872340425531915,-
Crude Palm Oil ,CRUDE PALM OIL,399980.0,product,0.9872340425531915,-
CPO,CPO,400000.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,400000.0,product,0.9872340425531915,-
PALM KERNEL RSPO MB,PALM KERNEL RSPO MB,400000.0,product,0.9872340425531915,-
Palm Kernel,PALM KERNEL,400000.0,product,0.9872340425531915,-
Palm Kernel Oil,PALM KERNEL OIL,400000.0,product,0.9872340425531915,-
Uang Muka CPO 80,UANG MUKA CPO 80,400000.0,product,0.9872340425531915,-
Uang Muka CPO 90 atas SPJB No  099MMALCBUCPOXI2021,UANG MUKA CPO 90 ATAS SPJB NO  099 MMAL CBU CPO XI 2021,400000.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2850CPO285021C058,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS MUARA KANDIS MILL KE BULKING BOOM BARU DO  2850 CPO 2850 21 C058,400070.0,service,-,1.0
Penyesuaian Ongkos Angkut CPO,PENYESUAIAN ONGKOS ANGKUT CPO,400580.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,400710.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,401457.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,401901.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,402050.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,402110.0,product,0.9872340425531915,-
Palm Kernel Oil,PALM KERNEL OIL,402650.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,403620.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,403980.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,404310.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,405540.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,406720.0,service,-,1.0
Ongkos Angkut TBS Div 1,ONGKOS ANGKUT TBS DIV 1,407660.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,410000.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,414439.0,product,0.9872340425531915,-
Claim Mutu Premium CPO,CLAIM MUTU PREMIUM CPO,414440.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,419050.0,service,-,1.0
Ongkos Angkut TBS DIV 5,ONGKOS ANGKUT TBS DIV 5,419790.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,441052.0,product,0.9872340425531915,-
Ongkos Angkut TBS Div 4,ONGKOS ANGKUT TBS DIV 4,442560.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,444950.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,445180.0,product,0.9872340425531915,-
Penyesuaian Ongkos Angkut CPO,PENYESUAIAN ONGKOS ANGKUT CPO,445350.0,service,-,1.0
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,445970.0,service,-,1.0
Down Payment 90  atas penjualan Crude Palm Oil CPO dari total kontrak 500000 Kg,DOWN PAYMENT 90  ATAS PENJUALAN CRUDE PALM OIL CPO DARI TOTAL KONTRAK 500 000 KG,450000.0,product,0.9872340425531915,-
PENJUALAN CPO 112CPOKSPTNIX2021,PENJUALAN CPO 112 CPO KSP TN IX 2021,450000.0,product,0.9872340425531915,-
Transport CPO Via Sungai	 DO 1454CPO145421T007	 ,TRANSPORT CPO VIA SUNGAI	 DO 1454 CPO 1454 21 T007,450600.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,451870.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,454410.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,455370.0,service,-,1.0
TBS PERIODE 1415 APRIL 2021,TBS PERIODE 14 15 APRIL 2021,456533.5938,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,460000.0,product,0.9872340425531915,-
TBS PERIODE 12 MARET 2021,TBS PERIODE 12 MARET 2021,465476.0938,product,0.9872340425531915,-
Ongkos Angkut TBS Div 3,ONGKOS ANGKUT TBS DIV 3,470870.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,471030.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,475000.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,479610.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,480160.0,product,0.9872340425531915,-
Palm Kernel Oil,PALM KERNEL OIL,483170.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,489550.0,service,-,1.0
UANG MUKA ATAS CPO,UANG MUKA ATAS CPO,490000.0,product,0.9872340425531915,-
JASA ANGKUT CPO DARI PABRIK BUMIPALMA LESTARIPERSADA KE BULKING RENGAT,JASA ANGKUT CPO DARI PABRIK BUMIPALMA LESTARIPERSADA KE BULKING RENGAT,491230.0,service,-,1.0
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE BULKING RENGAT,JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE BULKING RENGAT,492240.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,492460.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,492870.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,493100.0,service,-,1.0
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,493270.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,494870.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,495760.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2850CPO285021C041,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS MUARA KANDIS MILL KE BULKING BOOM BARU DO  2850 CPO 2850 21 C041,496270.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,496734.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSPANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450CPO245021C033,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS PANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450 CPO 2450 21 C033,496790.0,service,-,1.0
