NAMA_BARANG,JML_BARANG
CPO NO C02CASSTNXIXX,5850.0
Ongkos Angkut TBS DIV 4,5880.0
CRUDE PALM OIL,6430.0
CRUDE PALM OIL FFA  5 max MI  05 max,7000.0
PENJUALAN 7100 KG CPO,7100.0
Palm Kernel PK,7130.0
PALM KERNEL INTI SAWIT,7194.0
CPO,7500.0
CPO KONTRAK JUAL BELI NOC02XX,7500.0
CRUDE PALM OIL,7540.0
PALM KERNEL,7550.0
TBS Periode 07 Maret 2021,8079.100098000001
Penjualan CPO 015CPOCC,8120.0
CRUDE PALM OIL,8340.0
CPO NO C01CASSTNXXXX,8500.0
PK PALM KERNEL,8620.0
CRUDE PALM OIL CPO SESUAI KONTRAK NO SO0012XXXXX DAN INVOICE NO INV0171XXXXX,8740.0
PKPalm Kernel NoKontrak 043XXXX,8830.0
CPOCrude Palm Oil NoKontrak 169XXXXX,8970.0
PALM KERNEL ,9005.0
Ongkos Angkut TBS DIV 3,9060.0
CRUDE PALM OIL,9240.0
CRUDE PALM OIL,9729.0
Crude Palm Oil CPO 9990 Kg Kontrak 562CPOXXXXX,9990.0
CPO KONTRAK JUAL BELI NOC04XXXX,10000.0
CPO KONTRAK JUAL BELI NOC05XXXXX,10000.0
Crude Palm Oil CPO 10000 Kg Kontrak 574CPOXXXXX,10000.0
Crude Palm Oil CPO 10000 Kg Kontrak 587CPOXXXX,10000.0
Ongkos Angkut TBS DIV 2,10260.0
CPO,10490.0
Ongkos Angkut TBS DIV 3,10640.0
CRUDE PALM OIL HS CODE 15111000,11128.0
CRUDE PALM OIL,11480.0
PALM KERNEL,12180.0
Ongkos Angkut TBS DIV 1,12260.0
CRUDE PALM OIL,12370.0
CPO KONTRAK JUAL BELI NOC05XXXXX,12500.0
CRUDE PALM OIL,12940.0
TBS PERIODE 31 MARET 2021,13048.59961
Palm Kernel,13110.0
CPOCrude Palm Oil NoKontrak 108PMXXXXXXX,13430.0
CRUDE PALM OIL,14160.0
TBS PERIODE 10 AGUSTUS 2021,14529.90039
PENJUALAN CRUDE PALM OIL,14600.0
CRUDE PALM OIL,14660.0
CRUDE PALM OIL,14900.0
Palm Kernel,15174.0
BENIH KELAPA SAWITDAMIMAS,15238.0
CRUDE PALM OIL,15860.0
CRUDE PALM OIL FFA  5 max MI  05 max,16000.0
CRUDE PALM OIL CPO  ISCC CERTIFICATE CODE  EUISCCCertDE11962204280,16440.0
Palm Kernel,16532.0
Ongkos Angkut TBS DIV 1,16560.0
PENJUALAN PALM KERNEL,16580.0
TBS Periode 05 Januari 2021,16797.0
CRUDE PALM OIL,16880.0
BIAYA HANDLING CPO,16999.36914
PALM KERNEL KONTRAK NO 046SJMSXXXXXXX,17700.0
Palm Kernel,17746.0
Ongkos Angkut TBS Div 3,18450.0
PENJUALAN CRUDE PALM OIL,18500.0
Crude Palm Oil,18650.0
Ongkos Angkut TBS DIV 4,18870.0
PALM KERNEL,19080.0
Palm Kernel,19169.0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No005PSJXXXXXX,19250.0
CRUDE PALM OIL,19540.0
PALM KERNEL,19620.0
PALM KERNEL,19900.0
Palm Kernel,20100.0
Ongkos Angkut TBS DIV 2,20370.0
PENJUALAN PALM KERNEL,20780.0
Palm Kernel,20860.0
PKPalm Kernel NoKontrak 118PMXXXXXX,21050.0
Palm Kernel,21060.0
TBS PERIODE 23 JULI 2021,21148.90039
CRUDE PALM OIL,21250.0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No040PSJXXXXX,21630.0
Palm Kernel,21634.0
CPO Crude Palm Oil Kontrak 038CPOIMTXXXXXX,21690.0
CRUDE PALM OIL ,22000.0
Ongkos Angkut TBS DIV 1,22060.0
Ongkos Angkut TBS Div 5,22290.0
TBS PERIODE 15 OKTOBER 2021,22795.59961
CRUDE PALM OIL,23360.0
Palm Kernel,23436.0
Palm Kernel,23559.0
Ongkos Angkut TBS DIV 2,23590.0
Palm Kernel,23701.0
CPOCrude Palm Oil NoKontrak 063PMXXXX,23940.0
Palm Kernel Oil,24390.0
CRUDE PALM OIL,24560.0
PENJUALAN PALM KERNEL,24800.0
TBS PER 0115 JUN 2021 TT 2008,24871.0
PALM KERNEL,25020.0
PALM KERNEL,25040.0
TBS TLJX JLYM Bulan Juni 2021 Tahun Tanam 2008,25179.0
PENJUALAN CPO  043SRMXXXXXX2021 ,25340.0
PALM KERNEL,25530.0
TBS PERIODE 31 JANUARI 2021,25781.0
TBS PERIODE 12  13 APRIL 2021,25802.0
PK Palm Kernel Kontrak 015PKIMTLILXXXXXXX,25810.0
Palm Kernel,25820.0
CRUDE PALM OIL,26130.0
Palm Kernel,26907.0
CRUDE PALM OIL,27000.0
PK Palm Kernel,27050.0
PENJUALAN CRUDE PALM OIL,27210.0
CPO Crude Palm Oil Kontrak 042CPOIMTLILX2021,27280.0
PALM KERNEL,27650.0
PENJUALAN CRUDE PALM OIL,27900.0
CRUDE PALM OIL,27970.0
PKPalm Kernel Kontrak No007PSJCPKI2021,28320.0
PKPalm Kernel Kontrak No054PSJCPKIV2021,28320.0
CRUDE PALM OIL KG,28420.0
Crude Palm Oil,28693.0
PKPalm Kernel Kontrak No003PSJCPKI2021,28700.0
Ongkos Angkut TBS DIV 4,28760.0
PALM KERNEL,28910.0
PALM KERNEL OIL,29070.0
TBS Periode 05  06 Juli 2021,29106.0
CPOCrude Palm Oil Kontrak No005PSJCCPOI2021,29250.0
CPOCrude Palm Oil NoKontrak 039PMCCPOIII2021,29270.0
PKPalm Kernel NoKontrak 064PMCPKIV2021,29290.0
CRUDE PALM OIL,29362.0
CPOCrude Palm Oil NoKontrak 017PMCCPOI2021,29370.0
PKPalm Kernel NoKontrak 082PMCPKV2021,29520.0
TBS PERIODE 01  02 JUNI 2021,29600.30078
CRUDE PALM OIL,29690.0
Ongkos Angkut TBS DIV 2,29830.0
PK Palm Kernel Kontrak 004PKIMTLILII2021,29920.0
TBS PERIODE 13  NOVEMBER 2021,29927.90039
CRUDE PALM OIL,30020.0
CRUDE PALM OIL,30100.0
PK Palm Kernel Kontrak 013PKIMTLILVIII2021,30280.0
CRUDE PALM OIL,30870.0
PK Palm Kernel Kontrak 012PKIMTLILVIII2021,30870.0
CLAIM CPO,30890.0
TBS PER 1631 DES 2021 TT 2012,31324.0
BENIH KELAPA SAWITDAMIMAS,31905.0
PENJUALAN CRUDE PALM OIL,31970.0
CRUDE PALM OIL,32250.0
CPO Crude Palm Oil Kontrak 017CPOIMTLILVI2021,32260.0
PALM KERNEL,32650.0
CPO Crude Palm Oil Kontrak 006CPOIMTLILIII2021,32690.0
TBS PERIODE 12  13 JULI 2021,33038.89844
Bibit Kelapa Sawit,33333.0
CRUDE PALM OIL,33510.0
Crude Palm Oil,34136.0
TBS Periode 15 Maret 2021,34567.60156
Crude Palm Oil,34600.0
Ongkos Angkut TBS DIV 1,34610.0
Ongkos Angkut TBS DIV 4,34660.0
TBS PERIODE 22  23 MARET 2021,34889.80078
CRUDE PALM OIL,34925.0
CPOCrude Palm Oil Kontrak No004PSJCCPOI2021,35190.0
PK Palm Kernel Kontrak 010PKIMTLILVII2021,35440.0
TBS PERIODE 21 DESEMBER 2021,35510.80078
PALM KERNEL PK,36000.0
TBS PERIODE 11  12 AGUSTUS 2021,36139.19922
Ongkos Angkut TBS DIV 3,36220.0
TBS PERIODE 27 OKTOBER 2021,36246.10156
Palm Kernel,36731.0
TBS PERIODE 09  10 OKTOBER 2021,36803.5
Ongkos Angkut TBS DIV 7,37460.0
CPOCrude Palm Oil NoKontrak 089PMCCPOV2021,37520.0
CPOCrude Palm Oil NoKontrak 066PMCCPOIV2021,37830.0
Ongkos Angkut TBS Div 5,38170.0
Palm Kernel,38190.0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No027PSJCCPOII2021,38770.0
TBS PER 1631 DES 2021 TT 2011,39181.0
Ongkos Angkut TBS DIV 3,39340.0
PENJUALAN CRUDE PALM OIL,39340.0
CPOCrude Palm Oil NoKontrak 150PMCCPOIX2021,39450.0
Crude Palm Oil,39519.0
TBS Periode 17 Juni 2021,39741.30078
CRUDE PALM OIL,39800.0
Palm Kernel,39923.0
CRUDE PALM OIL,40050.0
PALM KERNEL,40120.0
PALM KERNEL CURAH  MB Mass Balance  RSPO CertifiedCertificate Code  MUTURSPO062,40580.0
TBS PER 0115 DES 2021 TT 2013,40676.0
TBS PERIODE 26 FEBRUARI 2021,41839.5
Ongkos Angkut TBS Div 4,41990.0
Crude Palm Oil,42278.0
Ongkos Angkut TBS DIV 3,42630.0
TBS PERIODE 16 DESEMBER 2021,42716.80078
INTI SAWIT,42750.0
Crude Palm Oil,43373.0
Palm Kernel,44447.0
Ongkos Angkut TBS DIV 2,45360.0
TBS Periode 0607 Desember 2021,45962.0
CRUDE PALM OIL,46000.0
PENJUALAN PALM KERNEL,46200.0
TBS Periode 29 sd 30 November 2021,46205.89844
Palm Kernel,46528.0
UANG MUKA PALM KERNEL,46970.0
Crude Palm Oil,47309.0
TBS PER 1630 NOV 2021 TT 2008,47485.0
PK Palm Kernel,47500.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 073PMCCPOIV2021,48850.0
PALM KERNEL,49130.0
TBS PERIODE 16  17 OKTOBER 2021,49182.10156
Ongkos Angkut TBS Div 1,49270.0
PENJUALAN CRUDE PALM OIL,49370.0
CPOCrude Palm Oil Kontrak No053PSJCCPOIV2021,49620.0
TBS PER 1631 DES 2021 TT 2013,49650.0
CRUDE PALM OIL,49980.0
PALM KERNEL,49980.0
Ongkos Angkut CPO,50010.0
Crude Palm Oil,50160.0
Palm Kernel,50167.0
PALM KERNEL,50450.0
CPO Crude Palm Oil Kontrak 001CPOIMTLILI2021,50900.0
TBS Periode 07 sd 08 Juni 2021,51216.80078
PENJUALAN PALM KERNEL,51490.0
CPOCrude Palm Oil Kontrak No012PSJCCPOI2021,51570.0
TBS PER 1631 OKT 2021 TT 2008,51809.0
UANG MUKA CRUDE PALM OIL,51830.0
CPOCrude Palm Oil Kontrak No002PSJCCPOI2021,51980.0
PENJUALAN PALM KERNEL,52130.0
TBS PERIODE 25 MEI 2021,52631.0
PALM KERNEL,52960.0
CRUDE PALM OIL,54140.0
Ongkos Angkut TBS Div 4,54790.0
PALM KERNEL,54850.0
TBS PER 0115 DES 2021 TT 2012,54981.0
TBS PERIODE 02  03 AGUSTUS 2021,55336.39844
Palm Kernel,55450.0
KLAIM MUTU CPO,56201.20313
PALM KERNEL,56740.0
PANJAR PALM KERNEL KONTRAK NO 012SJMSKJBPKII2021,57000.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 053PMCCPOIII2021,57130.0
PK PALM KERNEL,57368.0
Crude Palm Oil,57404.0
CRUDE PALM OIL,57450.0
CPOCrude Palm Oil NoKontrak 013PMCCPOI2021,57520.0
TBS Periode 15 sd 16 November 2021,57600.60156
PALM KERNEL,57660.0
CPOCrude Palm Oil Kontrak No084PSJCCPOVIII2021,57760.0
CPO Crude Palm Oil Kontrak 010CPOIMTLILIV2021,57850.0
PKPalm Kernel Kontrak No105PSJCPKIX2021,57960.0
Palm Kernel Oil,58010.0
Ongkos Angkut TBS DIV 4,58180.0
PALM KERNEL OIL,58450.0
CRUDE PALM OIL,58870.0
Palm Kernel,59583.0
PKPalm Kernel NoKontrak 100PMCPKVI2021,59830.0
CPO Crude Palm Oil Kontrak 020CPOIMTLILVI2021,60250.0
PALM KERNEL,60450.0
Palm Kernel,60556.0
CRUDE PALM OIL,61140.0
CPOCrude Palm Oil NoKontrak 062PMCCPOIV2021,61340.0
CPOCrude Palm Oil No Kontrak 210PMCCPOXII2021,61390.0
Ongkos Angkut TBS DIV 2,61880.0
CPOCrude Palm Oil NoKontrak 034PMCCPOII2021,61900.0
PALM KERNEL,62320.0
Ongkos Angkut TBS DIV 2,62470.0
CRUDE PALM OIL KG,62700.0
Crude Palm Oil,62953.0
Crude Palm Oil,63006.0
PALM KERNEL,63070.0
TBS Periode 09 sd 10 Oktober 2021,63625.19922
TBS Periode 28 Juni 2021,63660.60156
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No098PSJCCPOIX2021,64450.0
Crude Palm Oil,64813.0
CPO Crude Palm Oil Kontrak 041CPOIMTLILX2021,64880.0
TBS Periode 25  28 Agustus 2021,65278.0
Crude Palm Oil,65630.0
CPO Crude Palm Oil Kontrak 015CPOIMTLILVI2021,65790.0
TBS PER 1631 DES 2021 TT 2010,65885.0
CRUDE PALM OIL,66460.0
Tuslaag TBS Div 6,66960.0
Pembayaran Uang Muka CPOCrude Palm Oil Kontrak No074PSJCCPOVII2021,67080.0
Palm Kernel,69150.0
PALM KERNEL,69220.0
PALM KERNEL KONTRAK NO 036SJMSKJBPKIV2021,69750.0
Panjar Penjualan CPO 146SRMCPOPKUVI2021,71060.0
TBS PERIODE 30  31 OKTOBER 2021,71305.5
CRUDE PALM OIL,71770.0
Ongkos Angkut TBS DIV 6,72050.0
TBS Periode 04  07 September 2021,72520.0
TBS Periode 23  27 Juli 2021,73510.0
Palm Kernel,74180.0
PALM KERNEL,74500.0
Ongkos Angkut CPO,74730.0
TBS Periode 23 Maret 2021,74759.89844
Pembelian Palm Kernel PK,74850.0
CRUDE PALM OIL,74870.0
CRUDE PALM OIL,74940.0
CRUDE PALM OIL,74970.0
CRUDE PALM OIL,74975.0
PALM KERNEL,74990.0
Ongkos Angkut CPO,75060.0
Ongkos Angkut CPO,75140.0
Ongkos Angkut CPO,75560.0
CRUDE PALM OIL,75640.0
Ongkos Angkut CPO,75890.0
Ongkos Angkut CPO,76000.0
Ongkos Angkut TBS DIV 1,76090.0
UANG MUKA CRUDE PALM OIL,76600.0
CRUDE PALM OIL,78289.0
CRUDE PALM OIL,79270.0
CRUDE PALM OIL,79380.0
CPOCrude Palm Oil NoKontrak 016PMCCPOI2021,79480.0
CRUDE PALM OIL,79490.0
PALM KERNEL,79600.0
Ongkos Angkut TBS DIV 5,79610.0
CRUDE PALM OIL,79810.0
CRUDE PALM OIL,80000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0053POMKPRCPOII2021 Tanggal 09 Februari 2021 PO No 9100072922,80000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0092POMKPRCPOIII2021 Tanggal 09 Maret 2021 PO No 9100073860,80000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0100POMKPRCPOIII2021 Tanggal 16 Maret 2021 PO No 9100074149,80000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0283POMKPRCPOVII2021 Tanggal 27 Juli 2021 PO No 9100078625,80000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0300POMKPRCPOVIII2021 Tanggal 05 Agustus 2021 PO No 9100079001,80000.0
Crude Palm Oil DP 98 Surat Perjanjian JualBeli No0377POMKPRCPOIX2021 Tanggal 28 September 2021 PO No 9100080901,80000.0
Crude Palm Oil DP 98 Surat Perjanjian JualBeli No0392POMKPRCPOX2021 Tanggal 07 Oktober 2021 PO No 9100081336,80000.0
Crude Palm Oil DP 98 Surat Perjanjian JualBeli No0432POMKPRCPOXI2021 Tanggal 04 November 2021 PO No 9100082337,80000.0
Crude Palm Oil DP 98 Surat Perjanjian JualBeli No0470POMKPRCPOXII2021 Tanggal 02 Desember 2021 PO No 9100083485,80000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0096POMKPRCPOIII2021 Tanggal 10 Maret 2021 PO No 9100073923,80000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0122POMKPRCPOIV2021 Tanggal 01 April 2021 PO No 9100074721,80000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0224POMKPRCPOVI2021 Tanggal 17 Juni 2021 PO No 9100077122,80000.0
