NAMA_BARANG,JML_BARANG
CPO Crude Palm Oil Kontrak 016CPOIMTLILVI2021,99540.0
Minyak Sawit  CPO ,99540.0
TBS Periode 2730 Oktober 2021,99548.0
Ongkos Angkut CPO,99570.0
Crude Palm Oil CPO,99580.0
CPO CRUDE PALM OIL,99600.0
CRUDE PALM OIL,99640.0
PK PALM KERNEL,99640.0
PALM KERNEL,99650.0
PALM KERNEL ,99660.0
CPO CRUDE PALM OIL,99690.0
PALM KERNEL,99690.0
PK PALM KERNEL,99720.0
Minyak Sawit  CPO  ,99730.0
CPO,99740.0
PALM KERNEL PK,99760.0
Palm Kernel,99770.0
CPO CRUDE PALM OIL,99780.0
CRUDE PALM OIL CPO,99780.0
PK PALM KERNEL,99800.0
Pembelian Crude Palm Oil CPO,99800.0
CRUDE PALM OIL,99810.0
PALM KERNEL PK,99810.0
CPO CRUDE PALM OIL,99830.0
CPO,99850.0
Palm Kernel,99860.0
Crude Palm Oil CPO,99890.0
CPO CRUDE PALM OIL,99910.0
PALM KERNEL,99930.0
PALM KERNEL,99940.0
PK PALM KERNEL,99940.0
CPO CRUDE PALM OIL,99950.0
CRUDE PALM OIL CPO,99960.0
Crude Palm Oil,100000.0
Inti Sawit  PK  ,100000.0
PALM KERNEL Kadar Air 8 max Kadar Kotoran 8 max,100000.0
PENJUALAN CPO 003CPOKSPSIPI2021,100000.0
PENJUALAN CPO 019CPOSRJIMTII2021,100000.0
PENJUALAN CPO 027CPOSRJIMTIV2021,100000.0
PENJUALAN CPO 071CPOSRJIMTX2021,100000.0
PENJUALAN CPO 081CPOSPJIMTVI2021,100000.0
PENJUALAN CPO 098CPOSRJTNXII2021,100000.0
PENJUALAN CPO 143CPOKSPSIPXII2021,100000.0
Penjualan CPO 001SRMCPOPKUI2021,100000.0
Penjualan CPO 018CPOPNNIIMTIII2021,100000.0
Penjualan CPO 022SRMCPOPKUI2021,100000.0
Penjualan CPO 024CPOPNNIIMTIII2021,100000.0
Penjualan CPO 029CPOPNNIIMTIII2021,100000.0
Penjualan CPO 032SRMCPOPKUII2021,100000.0
Penjualan CPO 053SRMCPOPKUIII2021,100000.0
Penjualan CPO 064SRMCPOPKUIII2021,100000.0
Penjualan CPO 078CPOPNNIIMTIX2021,100000.0
Penjualan CPO 078SRMCPOPKUIV2021,100000.0
Penjualan CPO 090SRMCPOPKUIV2021,100000.0
Penjualan CPO 112CPOPNNITNXII2021,100000.0
Penjualan CPO 143SRMCPOPKUVI2021,100000.0
Penjualan CPO 190SRMCPOPKUVIII2021,100000.0
Penjualan CPO 199SRMCPOPKUVIII2021,100000.0
Penjualan CPO 202SRMCPOPKUVIII2021,100000.0
Penjualan CPO 207SRMCPOPKUVIII2021,100000.0
Penjualan CPO 230SRMCPOPKUIX2021,100000.0
Penjualan CPO 235SRMCPOPKUIX2021,100000.0
Penjualan CPO 241SRMCPOPKUIX2021,100000.0
Penjualan CPO 261SRMCPOPKUX2021,100000.0
Penjualan CPO 266SRMCPOPKUX2021,100000.0
Penjualan CPO 271SRMCPOPKUX2021,100000.0
Penjualan CPO 281SRMCPOPKUX2021,100000.0
Penjualan CPO 297SRMCPOPKUX2021,100000.0
Penjualan CPO 318SRMCPOPKUXI2021,100000.0
Penjualan CPO 320SRMCPOPKUXI2021,100000.0
Penjualan CPO 330SRMCPOPKUXI2021,100000.0
PALM KERNEL PK,100010.0
PALM KERNEL PK,100030.0
PK PALM KERNEL,100030.0
Crude Palm Oil CPO,100060.0
PALM KERNEL,100100.0
Crude Palm Oil CPO,100150.0
Crude Palm Oil CPO,100250.0
Ongkos Angkut CPO,100250.0
Ongkos Angkut CPO,100320.0
PALM KERNEL,100420.0
Ongkos Angkut CPO,100840.0
Palm Kernel,101090.0
Palm Kernel,101130.0
Ongkos Angkut CPO,101260.0
PALM KERNEL,101720.0
PALM KERNEL,101840.0
PALM KERNEL,101900.0
CRUDE PALM OIL,101910.0
Palm Kernel Oil,102520.0
Ongkos angkut CPO,103100.0
TBS Periode 30 Oktober 2021,103376.7969
Ongkos Angkut TBS Div 1,103600.0
Ongkos Angkut CPO,105270.0
Palm Kernel,106510.0
Palm Kernel,106720.0
CRUDE PALM OIL,107300.0
Ongkos Angkut CPO,107330.0
Ongkos Angkut TBS DIV 1,109300.0
Ongkos Angkut CPO,109420.0
CPO Crude Palm Oil Kontrak 044CPOIMTLILX2021,109560.0
PENJUALAN CPO 136CPOKSPSIPXI2021,109720.0
Ongkos Angkut CPO,109840.0
CRUDE PALM OIL,110300.0
Ongkos Angkut CPO,110890.0
PALM KERNEL,111470.0
TBS Periode 0814 Desember 2021,111538.0
TBS PER 1630 APR 2021 TT 2010,111895.0
CRUDE PALM OIL,114030.0
CRUDE PALM OIL,114740.0
Crude Palm Oil,115050.0
Ongkos Angkut TBS DIV 4,115410.0
CRUDE PALM OIL,115620.0
Ongkos angkut CPO,115620.0
PK PALM KERNEL,115928.0
CRUDE PALM OIL,116670.0
PKPalm Kernel NoKontrak 074PMCPKIV2021,116750.0
Ongkos Angkut TBS DIV 5,117310.0
Ongkos Angkut TBS DIV 2,118730.0
PENJUALAN CPO 125CPOKSPTNX2021,119290.0
Palm Kernel,119520.0
PKPalm Kernel NoKontrak 109PMCPKVII2021,119810.0
PALM KERNEL,119968.0
CRUDE PALM OIL KONTRAK NO 267SJMSKJBCPOXII2021,120000.0
Crude Palm Oil  Pelunasan Surat Perjanjian JualBeli No0141POMKPRCPOIV2021 Tanggal 15 April 2021 PO No 9100075199,120000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0085POMKPRCPOIII2021 Tanggal 04 Maret 2021 PO No 9100073713,120000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0091POMKPRCPOIII2021 Tanggal 09 Maret 2021 PO No 9100073855,120000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0108POMKPRCPOIII2021 Tanggal 23 Maret 2021 PO No 9100074372,120000.0
Crude Palm Oil DP 95 Surat Perjanjian JualBeli No0354POMKPRCPOIX2021 Tanggal 09 September 2021 PO No 9100080215,120000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0266POMKPRCPOVII2021 Tanggal 15 Juli 2021 PO No 9100078153,120000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0299POMKPRCPOVIII2021 Tanggal 05 Agustus 2021 PO No 9100078995,120000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0308POMKPRCPOVIII2021 Tanggal 12 Agustus 2021 PO No 9100079226,120000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0328POMKPRCPOVIII2021 Tanggal 24 Agustus 2021 PO No 9100079603,120000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0350POMKPRCPOIX2021 Tanggal 07 September 2021 PO No 9100080115,120000.0
Palm Kernel  Surat Perjanjian JualBeli No0054POMKPRPKII2021 Tanggal 10 Februari 2021 PO No 9100072945,120000.0
Palm Kernel DP 98 Surat Perjanjian JualBeli No0381POMKPRPKIX2021 Tanggal 29 September 2021 PO No 9100080927,120000.0
Palm Kernel DP 98 Surat Perjanjian JualBeli No0467POMKPRPKXII2021 Tanggal 01 Desember 2021 PO No 9100083389,120000.0
Palm Kernel DP 98 Surat Perjanjian JualBeli No0486POMKPRPKXII2021 Tanggal 15 Desember 2021 PO No 9100083971,120000.0
Palm Kernel Pelunasan Surat Perjanjian JualBeli No 0475POMKPRPKXII2021 Tanggal 08 Desember 2021 PO No 9100083702,120000.0
Palm Kernel Pelunasan Surat Perjanjian JualBeli No0083POMKPRPKIII2021 Tanggal 03 Maret 2021 PO No 9100073689,120000.0
PALM KERNEL,120320.0
CRUDE PALM OIL,120380.0
PKPalm Kernel NoKontrak 179PMCPKX2021,120460.0
PALM KERNEL,121560.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 039PMCCPOIII2021,121820.0
TBS PERIODE 26  28 NOVEMBER 2021,122223.3984
PALM KERNEL ,122500.0
TBS PERIODE 01 SD 02 FEBRUARI 2021,123106.3984
Ongkos Angkut TBS DIV 1,123380.0
CRUDE PALM OIL,124550.0
TBS Periode 1319 Oktober 2021,124656.0
PALM KERNEL,125010.0
TBS Periode 03 sd 04 Juli 2021,125016.2969
CRUDE PALM OIL,125120.0
Ongkos Angkut TBS DIV 3,125320.0
CRUDE PALM OIL,125360.0
Crude Palm Oil,125430.0
TBS Periode 03 sd 05 Mei 2021,126387.0
Palm Kernel,126970.0
Ongkos Angkut TBS Div 6,128660.0
Ongkos Angkut CPO,129510.0
Transport CPO Via Sungai	 DO 1454CPO145421T255	 ,129550.0
Ongkos Angkut CPO,129800.0
Ongkos Angkut CPO,129860.0
Ongkos Angkut CPO,130190.0
TBS Periode 07 sd 08 Oktober 2021,131935.9063
Ongkos Angkut TBS Div 5,132460.0
Ongkos Angkut TBS DIV 2,133460.0
Palm Kernel Oil,134070.0
TBS Periode 12 sd 13 Juli 2021,134751.2969
Crude Palm Oil,135238.0
Crude Palm Oil,135680.0
Ongkos Angkut TBS DIV 2,137100.0
CPOCrude Palm Oil NoKontrak 058PMCCPOIV2021,138010.0
Ongkos Angkut TBS DIV 2,138070.0
Crude Palm Oil,140000.0
Ongkos Angkut TBS DIV 4,140330.0
CPO KONTRAK JUAL BELI NOC03MLAIMTI2021,142500.0
CPO KONTRAK JUAL BELI NOC03MLAIMTX2021,142500.0
Palm Kernel,143280.0
CRUDE PALM OIL,144070.0
Ongkos Angkut CPO,145580.0
CRUDE PALM OIL CPO,146210.0
Ongkos angkut CPO,146840.0
PENJUALAN CPO 042CPOKSPSIPIV2021,147000.0
PENJUALAN CPO 135CPOKSPTNXI2021,147000.0
Penyesuaian Ongkos Angkut CPO,147200.0
Penyesuaian Ongkos Angkut CPO,147810.0
PALM KERNEL,147918.0
Ongkos Angkut CPO,147990.0
CRUDE PALM OIL,148040.0
Ongkos Angkut CPO,148150.0
CPO Crude Palm Oil Kontrak 001CPOIMTLILI2021,148320.0
Ongkos Angkut CPO,148950.0
CRUDE PALM OIL,148970.0
CPO CRUDE PALM OIL,149670.0
CRUDE PALM OIL CPO,149680.0
PALM KERNEL,149780.0
PK  PALM KERNEL ,149810.0
PALM KERNEL PK,149840.0
Ongkos angkut CPO,149910.0
Ongkos angkut CPO,149980.0
CPO KONTRAK JUAL BELI NOC03MLAIMTVII2021,150000.0
PALM KERNEL ,150000.0
PALM KERNEL KONTRAK NO 038SJMSKJBPKV2021,150000.0
PENJUALAN CPO ,150000.0
PENJUALAN CPO 042CPOKSPSIPIV2021,150000.0
PENJUALAN CPO 085CPOKSPSIPVII2021,150000.0
PK  PALM KERNEL ,150000.0
Penjualan CPO 033CPOPNNIIMTIV2021,150000.0
Ongkos angkut CPO,150040.0
Ongkos Angkut CPO,150230.0
CRUDE PALM OIL,150335.0
Penyesuaian Ongkos Angkut CPO,150410.0
Ongkos Angkut CPO,150770.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 183PMCCPOXI2021,150890.0
Transport CPO Via Sungai	 DO 1454CPO115521T025	 ,151820.0
Ongkos Angkut TBS Div 5,152190.0
FFA Premium 2350CPO225021C029,152550.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 042PMCCPOIII2021,153000.0
CRUDE PALM OIL,153490.0
TBS Periode 2126 Oktober 2021,153968.0
Crude Palm Oil,154190.0
CRUDE PALM OIL,155210.0
Crude Palm Oil,156190.0
CPO CRUDE PALM OIL,157700.0
Ongkos Angkut CPO,159800.0
Ongkos Angkut CPO,159910.0
CRUDE PALM OIL CPO SESUAI KONTRAK NO SO00421021306202122152 DAN INVOICE NO INV00411021306202122137,160000.0
Ongkos Angkut CPO,160180.0
Ongkos Angkut CPO,160210.0
Ongkos Angkut TBS Div 1,160380.0
Ongkos Angkut CPO,160680.0
CRUDE PALM OIL,162290.0
Ongkos Angkut TBS DIV 2,162510.0
Tuslaag TBS Div 4,163680.0
PALM KERNEL,165000.0
Palm Kernel,168030.0
85 Uang Muka  Palm Kernel                                                                      Contract No GSBLPK00721,170000.0
PANJAR CRUDE PALM OIL KONTRAK NO 004SJMSKJBCPOI2021,171000.0
PANJAR CRUDE PALM OIL KONTRAK NO 126SJMSKJBCPOVI2021,171000.0
PANJAR CRUDE PALM OIL KONTRAK NO 149SJMSKJBCPOVII2021,171000.0
PANJAR CRUDE PALM OIL KONTRAK NO 257SJMSKJBCPOXI2021,171000.0
PANJAR PALM KERNEL KONTRAK NO 058SJMSKJBPKVII2021,171000.0
Ongkos Angkut TBS DIV 3,171200.0
CRUDE PALM OIL CPO SESUAI KONTRAK NO SO00421021306202122152 DAN INVOICE NO INV00411021307202122137,171340.0
PALM KERNEL,172120.0
TBS Periode 10 Mei 2021,172436.2969
CRUDE PALM OIL,174540.0
Crude Palm Oil ,176500.0
Ongkos Angkut TBS Div 3,177490.0
CPO Crude Palm Oil Kontrak 038CPOIMTLILX2021,177750.0
Palm Kernel,178390.0
Ongkos Angkut CPO,178500.0
Ongkos Angkut CPO,179410.0
CRUDE PALM OIL,179550.0
TBS Periode 28 sd 30 April 2021,179700.2969
Ongkos Angkut CPO,179830.0
CRUDE PALM OIL KONTRAK NO 106SJMSKJBCPOVI2021,180000.0
CRUDE PALM OIL KONTRAK NO 195SJMSKJBCPOVIII2021,180000.0
CRUDE PALM OIL KONTRAK NO 241SJMSKJBCPOX2021,180000.0
Palm Kernel,180060.0
Ongkos Angkut CPO,180250.0
Ongkos Angkut CPO,180360.0
Ongkos Angkut CPO,180370.0
CRUDE PALM OIL,180590.0
Palm Kernel,182640.0
Ongkos Angkut TBS DIV 2,183120.0
TBS Periode 02 sd 04 Mei 2021,184142.4063
CRUDE PALM OIL,184330.0
Ongkos Angkut TBS DIV 7,186060.0
PALM KERNEL,187060.0
Crude Palm Oil CPO,190000.0
Crude Palm Oil CPO 190000 Kg Kontrak 534CPOSMNIMTVI2021 PO 9100077159,190000.0
Crude Palm Oil CPO 190000 Kg Kontrak 569CPOSMNIMTX2021 PO 9100081142,190000.0
Crude Palm Oil CPO 190000 Kg Kontrak 601CPOSMNIMTXII2021 PO 9100083994,190000.0
Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak 131PMCCPOVIII2021,190000.0
Pembayaran Uang Muka PKPalm Kernel NoKontrak 146PMCPKIX2021,190000.0
Pembayaran Uang Muka PKPalm Kernel NoKontrak 162PMCPKX2021,190000.0
Ongkos Angkut CPO,190400.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSBUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2750CPO275021C005,191180.0
Crude Palm Oil,191540.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSPANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450CPO245021C027,193420.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSBUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2450CPO275021C001,193500.0
CRUDE PALM OIL,193600.0
CRUDE PALM OIL,193690.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 045ANJTNCPO0621 Tanggal 25 Juni 2021,194420.0
Ongkos Angkut TBS DIV 3,194540.0
CRUDE PALM OIL,195640.0
CRUDE PALM OIL,195900.0
PANJAR PENJUALAN CPO 095CPOSRJTNXII2021,196000.0
PENJUALAN CPO 104CPOKSPSIPIX2021,196000.0
Panjar Penjualan CPO 027CPOPNNITNIII2021,196000.0
Panjar Penjualan CPO 063CPOPNNITNVIII2021,196000.0
Panjar Penjualan CPO 126SRMCPOPKUVI2021,196000.0
Panjar Penjualan CPO 179SRMCPOPKUVII2021,196000.0
Panjar Penjualan CPO 193SRMCPOPKUVIII2021,196000.0
Panjar Penjualan CPO 204SRMCPOPKUVIII2021,196000.0
Panjar Penjualan CPO 296SRMCPOPKUX2021,196000.0
Panjar Penjualan CPO 306SRMCPOPKUXI2021,196000.0
Panjar Penjualan CPO 328SRMCPOPKUXI2021,196000.0
CRUDE PALM OIL,196310.0
Crude Palm Oil,196320.0
CRUDE PALM OIL,196390.0
CRUDE PALM OIL,196460.0
Ongkos Angkut CPO,196650.0
CRUDE PALM OIL,197170.0
Ongkos Angkut CPO,197180.0
CRUDE PALM OIL,197310.0
Penyesuaian Ongkos Angkut CPO,197310.0
PALM KERNEL OIL,197460.0
Ongkos Angkut TBS Div 5,197580.0
Palm Kernel,197860.0
CRUDE PALM OIL,198559.0
Ongkos Angkut CPO,198920.0
Ongkos Angkut TBS Div 4,199260.0
Pelunasan 20 Penjualan CPO ,199470.0
Biaya Pengangkutan Crude Palm Oil CPO No DO 022DOANJIMTCPO1121,199630.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 036ANJTNCPO0521 Tanggal 02 Juni 2021,199740.0
PALM KERNEL,199787.0
Ongkos angkut CPO,199790.0
CRUDE PALM OIL CPO,199800.0
Palm Kernel,199830.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 036ANJIMTCPO1120 Tanggal 10 Nopember 2020,199850.0
CRUDE PALM OIL,199910.0
Ongkos angkut CPO,199970.0
CPOCrude Palm Oil Kontrak No028PSJCCPOII2021,200000.0
CRUDE PALM OIL KONTRAK NO 074SJMSKJBCPOIV2021,200000.0
INTI KELAPA SAWIT,200000.0
JASA ANGKUT CRUDE PALM OIL,200000.0
PALM KERNEL RSPO MB,200000.0
PENJUALAN CPO 028CPOSRJTNIV2021,200000.0
PENJUALAN CPO 052CPOSRJTNVIII2021,200000.0
PENJUALAN CPO 058CPOSRJTNIX2021,200000.0
PKPalm Kernel NoKontrak 007PMCPKI2021,200000.0
PKPalm Kernel NoKontrak 147PMCPKIX2021,200000.0
PKPalm Kernel NoKontrak 155PMCPKX2021,200000.0
Palm Kernel,200000.0
Penjualan CPO 089CPOPNNIIMTX2021,200000.0
Penjualan CPO 102SRMCPOPKUIV2021,200000.0
Penjualan CPO 125SRMCPOPKUV2021,200000.0
Penjualan CPO 153SRMCPOPKUVII2021,200000.0
Penjualan CPO 302SRMCPOPKUXI2021,200000.0
Uang Muka 80 Penjualan CPO ,200000.0
CRUDE PALM OIL,200002.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 012ANJIMTCPO0421 Tanggal 03 Mei 2021,200060.0
Palm Kernel,200110.0
Crude Palm Oil,201960.0
CRUDE PALM OIL,202360.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 016ANJIMTCPO0621 Tanggal 05 Juli 2021,202670.0
Palm Kernel,203280.0
Crude Palm Oil,203520.0
Ongkos Angkut TBS DIV 1,205320.0
PALM KERNEL,209600.0
Ongkos Angkut TBS DIV 7,212460.0
Tuslaag TBS Div 4,217040.0
Palm Kernel,220700.0
Ongkos Angkut TBS DIV 3,221100.0
TBS PERIODE 03 SD 04 FEBRUARI 2021,222646.7031
Crude Palm Oil,224040.0
CRUDE PALM OIL,225370.0
Crude Palm Oil,225848.0
PANJAR CRUDE PALM OIL KONTRAK NO 097SJMSKJBCPOV2021,228000.0
PANJAR CRUDE PALM OIL KONTRAK NO 160SJMSKJBCPOVII2021,228000.0
PANJAR CRUDE PALM OIL KONTRAK NO 162SJMSKJBCPOVII2021,228000.0
PANJAR CRUDE PALM OIL KONTRAK NO 176SJMSKJBCPOVIII2021,228000.0
PANJAR CRUDE PALM OIL KONTRAK NO 203SJMSKJBCPOIX2021,228000.0
PANJAR CRUDE PALM OIL KONTRAK NO 213SJMSKJBCPOIX2021,228000.0
Ongkos Angkut CPO,231630.0
PALM KERNEL,232540.0
CRUDE PALM OIL,232770.0
Ongkos Angkut TBS DIV 5,233300.0
Ongkos Angkut TBS DIV 3,234690.0
PALM KERNEL OIL,235750.0
TBS PERIODE 16 JANUARI 2021,236698.7031
CPO KONTRAK JUAL BELI NOC02MLAIMTXII2021,237500.0
CPO KONTRAK JUAL BELI NOC03MLAIMTII2021,237500.0
CRUDE PALM OIL,238000.0
CRUDE PALM OIL,239000.0
Ongkos Angkut TBS DIV 3,239660.0
CRUDE PALM OIL KONTRAK NO 236SJMSKJBCPOXII2020,240000.0
CRUDE PALM OIL KOTRAK NO 207SJMSKJBCPOIX2021,240000.0
PALM KERNEL,240000.0
PANJAR PENJUALAN CPO 079CPOSRJTNX2021,241710.0
CRUDE PALM OIL,241910.0
Crude Palm Oil,243750.0
Crude Palm Oil,244200.0
CPO,245000.0
CRUDE PALM OIL,245000.0
Ongkos Angkut CPO,245430.0
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT  PKS BUMIPALMA KE BULKING RENGAT,245560.0
Ongkos Angkut CPO,245920.0
CRUDE PALM OIL,246190.0
Crude Palm Oil,246740.0
Ongkos Angkut CPO,246740.0
Ongkos Angkut TBS DIV 2,247140.0
Crude Palm Oil,247880.0
CPO,247920.0
Palm Kernel Oil,248750.0
CRUDE PALM OIL,248830.0
CRUDE PALM OIL CPO,248960.0
TBS PERIODE 10 SD 14 FEBRUARI 2021,248990.4063
Crude Palm Oil,249050.0
Crude Palm Oil,249230.0
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT PKS BUMIPALMA KE BULKING RENGAT,249250.0
Crude Palm Oil,249480.0
Ongkos angkut CPO,249520.0
CRUDE PALM OIL,249640.0
Claim Mutu Premium CPO,249710.0
Ongkos angkut CPO,249850.0
Crude Palm Oil,249960.0
CRUDE PALM OIL,250000.0
Crude Palm Oil,250000.0
PENJUALAN 250000 KG CPO,250000.0
UANG MUKA CRUDE PALM OIL,250000.0
Uang Muka CPO 90 atas SPJB No  037MMALCBUCPOV2021,250000.0
Ongkos angkut CPO,250150.0
Crude Palm Oil,250247.0
Crude Palm Oil,250260.0
CRUDE PALM OIL,250410.0
Crude Palm Oil,250454.0
Crude Palm Oil,250500.0
CPO,253380.0
Claim Mutu Premium CPO,256010.0
Tuslaag TBS Div 1,260860.0
Claim Mutu Premium CPO,264500.0
Crude Palm Oil,268850.0
CRUDE PALM OIL,269880.0
PALM KERNEL,270880.0
CRUDE PALM OIL,272050.0
Ongkos Angkut TBS DIV 2,273750.0
Claim Mutu Premium CPO,276230.0
CRUDE PALM OIL,276300.0
Palm Kernel,279780.0
CRUDE PALM OIL,282260.0
CPO ,285000.0
CPO KONTRAK JUAL BELI NOC02MLAIMTIX2021,285000.0
CRUDE PALM OIL,285000.0
Crude Palm Oil CPO 285000 Kg Kontrak 603CPOSMNIMTXII2021 PO 9100084101,285000.0
PANJAR CRUDE PALM OIL KONTRAK NO 112SJMSKJBCPOVI2021,285000.0
PANJAR CRUDE PALM OIL KONTRAK NO 171SJMSKJBCPOVIII2021,285000.0
Crude Palm Oil,287600.0
CRUDE PALM OIL,290130.0
TBS PERIODE 07 MARET 2021,290804.6875
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSPANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450CPO245021C045,291170.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2850CPO285021C051,292240.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 079ANJTNCPOI120 Tanggal 19 Nopember 2020,292640.0
Crude Palm Oil,292766.0
CRUDE PALM OIL,293260.0
Ongkos Angkut TBS DIV 3,293640.0
PANJAR PENJUALAN CPO 056CPOSRJTNVIII2021,294000.0
Panjar Penjualan CPO 278SRMCPOPKUX2021,294000.0
PALM KERNEL,294670.0
Ongkos Angkut CPO,295200.0
CRUDE PALM OIL,295370.0
Palm Kernel,296740.0
CRUDE PALM OIL,296800.0
Ongkos Angkut CPO,297030.0
Ongkos Angkut CPO,297320.0
Crude Palm Oil,297340.0
PALM KERNEL,298148.0
Palm Kernel,298280.0
Crude Palm Oil,298340.0
CRUDE PALM OIL,298920.0
Tuslaag CPO,299070.0
Crude Palm Oil,299120.0
Crude Palm Oil CPO,299140.0
Crude Palm Oil CPO,299160.0
PALM KERNEL,299410.0
Crude Palm Oil CPO,299420.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 013ANJTNCPO0321 Tanggal 26 Maret 2021,299480.0
Ongkos Angkut TBS DIV 3,299510.0
Crude Palm Oil,299540.0
Crude Palm Oil CPO,299540.0
PELUNASAN PALM KERNEL,299540.0
Crude Palm Oil,299620.0
Biaya Pengangkutan Crude Palm Oil CPO No DO 073DOANJTNCPO0921,299630.0
Crude Palm Oil CPO,299760.0
Ongkos Angkut CPO,299760.0
Palm Kernel,299810.0
Crude Palm Oil,299830.0
Crude Palm Oil,299930.0
PALM KERNEL,299979.0
CPOCRUDE PALM OIL,300000.0
CRUDE PALM OIL,300000.0
CRUDE PALM OIL KONTRAK NO 044SJMSKJBCPOIII2021,300000.0
CRUDE PALM OIL KONTRAK NO 215SJMSKJBCPOIX2021,300000.0
Crude Palm Oil CPO HS Code  15111000,300000.0
MINYAK KELAPA SAWIT HS CODE  15111000,300000.0
PALM KERNEL  RSPO MB,300000.0
PELUNASAN PALM KERNEL,300000.0
PENJUALAN CPO 054CPOKSPSIPV2021,300000.0
Penjualan Palm Kernel Sesuai NoKontrak  03GLPPKI2021 KPPO  9100071971 Qty  300 Ton,300000.0
UANG MUKA CPO,300000.0
Ongkos Angkut CPO,300040.0
Biaya Pengangkutan Crude Palm Oil CPO No DO 087DOANJTNCPO1021,300060.0
Freight Palm Kernel Inti Sawit Dari Ketapang Ke Lampung Via KM Mellinda Sebanyak,300060.0
Transport CPO Via Sungai	 DO 1454CPO145421T152	 ,300140.0
PALM KERNEL,300150.0
Ongkos Angkut CPO,300180.0
CRUDE PALM OIL,300680.0
Ongkos Angkut CPO,300700.0
Transport CPO Via Sungai	 DO 1454CPO145421T256	 ,300750.0
Crude Palm Oil,300820.0
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT  PKS BUMIPALMA KE BULKING RENGAT,301000.0
CRUDE PALM OIL,301030.0
Ongkos Angkut CPO,301030.0
Palm Kernel,301080.0
Ongkos Angkut CPO,301430.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 076ANJTNCPO1120 Tanggal 01 Desember 2020,301460.0
JASA ANGKUT CPO DARI PABRIK BUMIPALMA LESTARIPERSADA KE BULKING RENGAT,301520.0
CRUDE PALM OIL,301860.0
PALM KERNEL,302180.0
Crude Palm Oil,302280.0
CPO ,302390.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 057ANJTNCPO0821 Tanggal 03 Agustus 2021,302390.0
CRUDE PALM OIL,302460.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 074ANJTNCPO1120 Tanggal 19 Nopember 2020,302510.0
CRUDE PALM OIL,302850.0
CRUDE PALM OIL,302920.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 058ANJTNCPO0821 Tanggal 05 Agustus 2021,303250.0
CPO ,303370.0
Crude Palm Oil,303740.0
Tagihan Ongkos Angkut CPO Biaya Pengangkutan Crude Palm Oil CPO No Kontrak 088ANJTNCPO1220 Tanggal 04 Januari 2021,303810.0
FFA Premium 2350CPO225021C044,304100.0
Palm Kernel,304210.0
CRUDE PALM OIL,304330.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSPANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450CPO245021C002,304330.0
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE PKS BUMIPALMA KE BULKING RENGAT,304600.0
CRUDE PALM OIL,304920.0
